image,count,value,team
18.png,7,4.31,gp1
19.png,4,1.6,gp1
20.png,8,4.81,gp1
21.png,6,3.76,gp1
22.png,5,2.25,gp1
23.png,8,4.34,gp1
24.png,3,2.55,gp1
25.png,10,4.4,gp1
26.jpg,8,3.51,gp1
27.jpg,9,0.88,gp1
28.jpg,3,0.21,gp1
29.jpg,5,0.36,gp1
30.jpg,7,3.72,gp1
31.jpg,4,1.7,gp1
2.jpeg,2,3.0,gp2
3.jpeg,3,2.7,gp2
4.jpeg,8,3.86,gp2
5.jpeg,3,0.24,gp2
6.jpeg,9,3.98,gp2
7.jpeg,9,3.98,gp2
8.jpeg,3,3.5,gp2
9.jpeg,6,0.96,gp2
10.jpeg,6,0.96,gp2
11.jpeg,9,3.37,gp2
12.jpeg,2,3.0,gp2
13.jpeg,9,3.87,gp2
14.jpeg,4,2.45,gp2
15.jpeg,5,3.9,gp2
